200.00
15
491400
491400
0 1 1 24.0 31.00 7 (D 0,1,1) (S 8,1,4) (S 3,4,4) (S 12,4,8) (S 16,8,9) (S 9,9,10) (S 33,9,11) (D 0,1,1)
0 1 2 13.0 13.00 6 (D 0,1,1) (S 10,1,2) (S 1,2,2) (S 7,2,7) (S 6,7,7) (S 20,7,11) (D 0,1,1)
0 1 3 14.0 14.00 4 (D 0,1,1) (S 24,1,3) (S 2,3,3) (S 17,3,11) (D 0,1,1)
0 1 4 8.0 15.00 3 (D 0,1,1) (S 25,1,8) (S 15,4,10) (D 0,1,1)
0 1 5 5.0 5.00 2 (D 0,1,1) (S 26,1,11) (D 0,1,1)
0 1 6 7.0 7.00 3 (D 0,1,1) (S 29,1,7) (S 27,7,9) (D 0,1,1)
0 1 7 9.0 9.00 2 (D 0,1,1) (S 31,1,10) (D 0,1,1)
0 1 8 25.0 26.00 9 (D 0,1,1) (S 34,1,5) (S 4,5,5) (S 14,5,7) (S 11,2,3) (S 21,3,4) (S 18,4,6) (S 5,6,6) (S 32,6,9) (D 0,1,1)
0 1 9 1.0 1.00 2 (D 0,1,1) (S 37,1,9) (D 0,1,1)
0 1 10 6.0 14.00 3 (D 0,1,1) (S 22,5,8) (S 19,4,9) (D 0,1,1)
0 1 11 6.0 7.00 2 (D 0,1,1) (S 23,3,10) (D 0,1,1)
0 1 12 8.0 9.00 2 (D 0,1,1) (S 28,5,11) (D 0,1,1)
0 1 13 13.0 23.00 4 (D 0,1,1) (S 30,2,8) (S 38,4,7) (S 35,2,9) (D 0,1,1)
0 1 14 1.0 3.00 2 (D 0,1,1) (S 36,2,11) (D 0,1,1)
0 1 15 6.0 23.00 3 (D 0,1,1) (S 13,6,8) (D 0,1,1)
