119.00
13
45481000
45481000
0 1 1 24.0 35.00 7 (D 0,1,1) (S 6,1,2) (S 1,2,2) (S 20,2,8) (S 5,6,6) (S 7,6,8) (S 4,5,5) (D 0,1,1)
0 1 2 23.0 38.00 7 (D 0,1,1) (S 8,1,4) (S 3,4,4) (S 11,4,5) (S 10,5,8) (S 9,7,8) (S 23,5,7) (D 0,1,1)
0 1 3 2.0 2.00 2 (D 0,1,1) (S 12,1,5) (D 0,1,1)
0 1 4 5.0 5.00 4 (D 0,1,1) (S 14,1,3) (S 2,3,3) (S 13,3,5) (D 0,1,1)
0 1 5 2.0 2.00 2 (D 0,1,1) (S 16,1,7) (D 0,1,1)
0 1 6 3.0 3.00 2 (D 0,1,1) (S 24,1,8) (D 0,1,1)
0 1 7 1.0 2.00 2 (D 0,1,1) (S 15,3,8) (D 0,1,1)
0 1 8 6.0 7.00 2 (D 0,1,1) (S 17,3,6) (D 0,1,1)
0 1 9 1.0 4.00 2 (D 0,1,1) (S 18,4,7) (D 0,1,1)
0 1 10 2.0 5.00 2 (D 0,1,1) (S 19,4,6) (D 0,1,1)
0 1 11 2.0 6.00 2 (D 0,1,1) (S 21,2,7) (D 0,1,1)
0 1 12 1.0 5.00 2 (D 0,1,1) (S 22,2,5) (D 0,1,1)
0 1 13 1.0 5.00 2 (D 0,1,1) (S 25,2,6) (D 0,1,1)
